Row,Column,Abbreviation,State,Year,Death per capita,Population,Deaths
6,7.50,AL,Alabama,2014,0.642135574,"4,843,214",311
0,0.50,AK,Alaska,2014,0.38007072,"736,705",28
5,3.00,AZ,Arizona,2014,0.321428906,"6,719,993",216
5,6.00,AR,Arkansas,2014,0.5628748,"2,966,912",167
5,2.00,CA,California,2014,0.338927753,"38,680,810","1,311"
4,3.50,CO,Colorado,2014,0.265438025,"5,349,648",142
3,11.00,CT,Connecticut,2014,0.186532208,"3,591,873",67
4,9.50,DE,Delaware,2014,0.534789101,"934,948",50
5,12.00,DC,District of Columbia,2014,1.365695253,"659,005",90
8,8.50,FL,Florida,2014,0.412796366,"19,888,741",821
7,8.00,GA,Georgia,2014,0.501624281,"10,087,231",506
8,0.50,HI,Hawaii,2014,0.056483254,"1,416,349",8
3,2.00,ID,Idaho,2014,0.189772836,"1,633,532",31
3,6.00,IL,Illinois,2014,0.486495325,"12,867,544",626
3,7.00,IN,Indiana,2014,0.482166437,"6,595,233",318
3,5.00,IA,Iowa,2014,0.189830857,"3,108,030",59
5,5.00,KS,Kansas,2014,0.303515259,"2,899,360",88
4,6.50,KY,Kentucky,2014,0.426008547,"4,413,057",188
6,5.50,LA,Louisiana,2014,0.966031825,"4,647,880",449
0,11.50,ME,Maine,2014,0.157809425,"1,330,719",21
4,8.50,MD,Maryland,2014,0.46922433,"5,967,295",280
2,10.50,MA,Massachusetts,2014,0.1451871,"6,749,911",98
2,7.50,MI,Michigan,2014,0.339862766,"9,915,767",337
2,4.50,MN,Minnesota,2014,0.139370036,"5,453,109",76
6,6.50,MS,Mississippi,2014,0.741879428,"2,992,400",222
4,5.50,MO,Missouri,2014,0.61871693,"6,060,930",375
2,2.50,MT,Montana,2014,0.283516821,"1,022,867",29
4,4.50,NE,Nebraska,2014,0.255163743,"1,881,145",48
4,2.50,NV,Nevada,2014,0.529471626,"2,833,013",150
1,11.00,NH,New Hampshire,2014,0.165570016,"1,328,743",22
3,10.00,NJ,New Jersey,2014,0.302520975,"8,925,001",270
6,3.50,NM,New Mexico,2014,0.412861302,"2,083,024",86
2,9.50,NY,New York,2014,0.196769381,"19,718,515",388
5,9.00,NC,North Carolina,2014,0.476123417,"9,934,399",473
2,3.50,ND,North Dakota,2014,0.175698469,"739,904",13
3,8.00,OH,Ohio,2014,0.410542737,"11,594,408",476
6,4.50,OK,Oklahoma,2014,0.441005916,"3,877,499",171
4,1.50,OR,Oregon,2014,0.236873014,"3,968,371",94
3,9.00,PA,Pennsylvania,2014,0.412022456,"12,790,565",527
2,11.50,RI,Rhode Island,2014,0.161216903,"1,054,480",17
6,8.50,SC,South Carolina,2014,0.668954505,"4,828,430",323
3,4.00,SD,South Dakota,2014,0.17594049,"852,561",15
5,7.00,TN,Tennessee,2014,0.514923381,"6,544,663",337
7,4.00,TX,Texas,2014,0.388201769,"26,944,751","1,046"
5,4.00,UT,Utah,2014,0.207353503,"2,941,836",61
1,10.00,VT,Vermont,2014,0.287088666,"626,984",18
5,8.00,VA,Virginia,2014,0.33424019,"8,317,372",278
2,1.50,WA,Washington,2014,0.253749683,"7,054,196",179
4,7.50,WV,West Virginia,2014,0.351633799,"1,848,514",65
2,5.50,WI,Wisconsin,2014,0.272646268,"5,758,377",157
3,3.00,WY,Wyoming,2014,0.222739282,"583,642",13
6,7.50,AL,Alabama,2015,0.791120497,"4,853,875",384
0,0.50,AK,Alaska,2015,0.948883638,"737,709",70
5,3.00,AZ,Arizona,2015,0.313895064,"6,817,565",214
5,6.00,AR,Arkansas,2015,0.523867363,"2,977,853",156
5,2.00,CA,California,2015,0.306714325,"38,993,940","1,196"
4,3.50,CO,Colorado,2015,0.319335254,"5,448,819",174
3,11.00,CT,Connecticut,2015,0.251064934,"3,584,730",90
4,9.50,DE,Delaware,2015,0.603764951,"944,076",57
5,12.00,DC,District of Columbia,2015,1.849705464,"670,377",124
8,8.50,FL,Florida,2015,0.390715416,"20,244,914",791
7,8.00,GA,Georgia,2015,0.585328664,"10,199,398",597
8,0.50,HI,Hawaii,2015,0.084201249,"1,425,157",12
3,2.00,ID,Idaho,2015,0.242009453,"1,652,828",40
3,6.00,IL,Illinois,2015,0.535086444,"12,839,047",687
3,7.00,IN,Indiana,2015,0.52776689,"6,612,768",349
3,5.00,IA,Iowa,2015,0.192184682,"3,121,997",60
5,5.00,KS,Kansas,2015,0.436918438,"2,906,721",127
4,6.50,KY,Kentucky,2015,0.522079794,"4,424,611",231
6,5.50,LA,Louisiana,2015,1.06661869,"4,668,960",498
0,11.50,ME,Maine,2015,0.233178608,"1,329,453",31
4,8.50,MD,Maryland,2015,0.672228762,"5,994,983",403
2,10.50,MA,Massachusetts,2015,0.159192481,"6,784,240",108
2,7.50,MI,Michigan,2015,0.357945353,"9,917,715",355
2,4.50,MN,Minnesota,2015,0.224352865,"5,482,435",123
6,6.50,MS,Mississippi,2015,0.742626422,"2,989,390",222
4,5.50,MO,Missouri,2015,0.809716066,"6,076,204",492
2,2.50,MT,Montana,2015,0.329434061,"1,032,073",34
4,4.50,NE,Nebraska,2015,0.311548687,"1,893,765",59
4,2.50,NV,Nevada,2015,0.631120919,"2,883,758",182
1,11.00,NH,New Hampshire,2015,0.16539973,"1,330,111",22
3,10.00,NJ,New Jersey,2015,0.280904504,"8,935,421",251
6,3.50,NM,New Mexico,2015,0.557604378,"2,080,328",116
2,9.50,NY,New York,2015,0.234970223,"19,747,183",464
5,9.00,NC,North Carolina,2015,0.487285437,"10,035,186",489
2,3.50,ND,North Dakota,2015,0.237832553,"756,835",18
3,8.00,OH,Ohio,2015,0.464451374,"11,605,090",539
6,4.50,OK,Oklahoma,2015,0.563032225,"3,907,414",220
4,1.50,OR,Oregon,2015,0.310587248,"4,024,634",125
3,9.00,PA,Pennsylvania,2015,0.397126182,"12,791,904",508
2,11.50,RI,Rhode Island,2015,0.132625115,"1,055,607",14
