Rank,Rank_Change,Country,2015_est,est_change,est_change_delta
1,Steady,Norway,0.944,Increase,0.002
2,Steady,Australia,0.935,Increase,0.002
3,Steady,Switzerland,0.93,Increase,0.002
4,Steady,Denmark,0.923,Steady,
5,Steady,Netherlands,0.922,Increase,0.002
6,Steady,Germany,0.916,Increase,0.001
6,Increase,Ireland,0.916,Increase,0.004
8,Decrease,United States,0.915,Increase,0.002
9,Decrease,Canada,0.913,Increase,0.001
9,Increase,New Zealand,0.913,Increase,0.002
11,Decrease,Singapore,0.912,Increase,0.003
12,Steady,Hong Kong,0.91,Increase,0.002
13,Steady,Liechtenstein,0.908,Increase,0.001
14,Steady,Sweden,0.907,Increase,0.002
14,Increase,United Kingdom,0.907,Increase,0.005
16,Steady,Iceland,0.899,Steady,
17,Steady,South Korea,0.898,Increase,0.003
18,Steady,Israel,0.894,Increase,0.001
18,Steady,Macau,0.894,[12],
19,Steady,Luxembourg,0.892,Increase,0.002
20,Decrease,Japan,0.891,Increase,0.001
21,Steady,Belgium,0.89,Increase,0.002
22,Steady,France,0.888,Increase,0.001
23,Steady,Austria,0.885,Increase,0.001
24,Steady,Finland,0.883,Increase,0.001
25,Steady,Taiwan,0.882,[13],
26,Steady,Slovenia,0.88,Increase,0.001
27,Steady,Spain,0.876,Increase,0.002
28,Steady,Italy,0.873,Steady,
29,Steady,Czech Republic,0.87,Increase,0.002
30,Steady,Greece,0.865,Increase,0.002
31,Steady,Estonia,0.861,Increase,0.002
32,Steady,Brunei,0.856,Increase,0.004
33,Steady,Cyprus,0.85,Steady,
33,Increase,Qatar,0.85,Increase,0.001
34,Steady,Andorra,0.845,Increase,0.001
35,Increase,Slovakia,0.844,Increase,0.005
36,Decrease,Poland,0.843,Increase,0.003
37,Steady,Lithuania,0.839,Increase,0.002
37,Steady,Malta,0.839,Increase,0.002
39,Steady,Saudi Arabia,0.837,Increase,0.001
40,Steady,Argentina,0.836,Increase,0.003
41,Decrease,United Arab Emirates,0.835,Increase,0.002
42,Steady,Chile,0.832,Increase,0.002
43,Steady,Portugal,0.83,Increase,0.002
44,Steady,Hungary,0.828,Increase,0.003
45,Steady,Bahrain,0.824,Increase,0.003
46,Increase,Latvia,0.819,Increase,0.003
47,Decrease,Croatia,0.818,Increase,0.001
48,Decrease,Kuwait,0.816,Steady,
49,Steady,Montenegro,0.802,Increase,0.001
