incident_date,city,victims,district,geolocation,state,incident_id,injured,address,killed
"November 22, 2017",Milwaukee,,,,Wisconsin,/incident/993720,1,3300 block of W Brown St,0
"November 22, 2017",Milwaukee,,,,Wisconsin,/incident/993718,0,4200 block of N 13th St,1
"November 22, 2017",Goose Creek,,,,South Carolina,/incident/993701,1,St James Ave and Gainsborough,0
"November 22, 2017",New Albany,,,,Indiana,/incident/993647,1,Moccasin Court,1
"November 22, 2017",Rapid City,,,,South Dakota,/incident/993644,0,N Maple and Anamosa,0
"November 22, 2017",Evansville,,,,Indiana,/incident/993639,0,E Sycamore St,0
"November 22, 2017",Phoenix,,,,Arizona,/incident/993633,1,32nd Ave and Roosevelt St,0
"November 22, 2017",Bow,,,,New Hampshire,/incident/993627,0,3 Branch Londonderry Turnpike W,0
"November 22, 2017",Randolph,,,,Massachusetts,/incident/993621,1,28 Reed St,0
"November 22, 2017",Columbus,,,,Ohio,/incident/993575,2,E Main St and Berkeley Rd,0
"November 22, 2017",Columbus,,,,Ohio,/incident/993565,0,E 17th Ave and Louis Ave,0
"November 22, 2017",Little Rock,,,,Arkansas,/incident/993558,1,Mabelvale Cut Off Rd and Warren Dr,0
"November 22, 2017",Vancouver,,,,Washington,/incident/993546,0,12814 NE 34th St,0
"November 22, 2017",Virginia Beach,,,,Virginia,/incident/993542,2,1200 block of Blue Jay Dr,0
"November 22, 2017",Massillon,,,,Ohio,/incident/993510,0,OH 21 and Walnut Rd SW,0
"November 22, 2017",Wake (county),,,,North Carolina,/incident/993500,0,US 264 Bypass,0
"November 22, 2017",Cape Girardeau,,,,Missouri,/incident/993493,1,Kenwood Dr,0
"November 22, 2017",Saint Louis (Moline Acres),,,,Missouri,/incident/993483,0,2401 Chambers Rd,0
"November 22, 2017",Lake Saint Louis,,,,Missouri,/incident/993479,0,36 Cedar Cir,0
"November 22, 2017",Indianapolis,,,,Indiana,/incident/993474,1,3615 Sherman Forest Dr,1
"November 22, 2017",Springfield,,,,Missouri,/incident/993469,1,1400 block of W Division St,0
"November 22, 2017",Woodleaf,,,,North Carolina,/incident/993463,1,2700 Block of Needmore Rd,0
"November 22, 2017",Washington,,,,District of Columbia,/incident/993457,0,100 block of Q St NW,0
"November 22, 2017",Charlotte,,,,North Carolina,/incident/993455,0,2200 Block of Catherine Simmons Ave,0
"November 22, 2017",Paterson,,,,New Jersey,/incident/993434,1,Madison Ave,0
"November 22, 2017",Lisle,,,,Illinois,/incident/993418,0,800 McKenzie Station Dr,0
"November 22, 2017",Boynton Beach,,,,Florida,/incident/993415,0,200 Block of SE 3rd Ave,0
"November 22, 2017",Boca Raton,,,,Florida,/incident/993412,0,N/A,0
"November 22, 2017",Boca Raton,,,,Florida,/incident/993409,0,100 Block of E Palmetto Park Rd,0
"November 22, 2017",Chicago,,,,Illinois,/incident/993405,1,7800 S State St,0
"November 22, 2017",Delray Beach,,,,Florida,/incident/993407,0,100 Block of NW 5th Ave,0
"November 22, 2017",West Palm Beach,,,,Florida,/incident/993402,0,1000 Block of Palm Beach Lakes Blvd,0
"November 22, 2017",Bronx,,,,New York,/incident/993270,2,E 163rd St,0
"November 22, 2017",Gadsden,,,,Alabama,/incident/993348,0,South 11th Street,0
"November 22, 2017",Bessemer,,,,Alabama,/incident/993299,0,10th Avenue and 18th Street,1
"November 22, 2017",Vernon Rockville (Vernon),,,,Connecticut,/incident/993850,0,Spring St,0
"November 22, 2017",Waterbury,,,,Connecticut,/incident/993584,0,532 Wolcott St,1
"November 22, 2017",Providence,,,,Rhode Island,/incident/993742,2,Croyland Rd and Oxford St,0
"November 22, 2017",Providence,,,,Rhode Island,/incident/993831,1,57 Fairmount Ave,0
"November 22, 2017",Philadelphia,,,,Pennsylvania,/incident/993824,2,2100 block of S 66th St,1
"November 22, 2017",Victorville,,,,California,/incident/993814,0,15350 Roy Rogers Dr,0
"November 22, 2017",Akron,,,,Ohio,/incident/993803,1,Wheeler and Sherman,0
"November 22, 2017",Boston,,,,Massachusetts,/incident/993801,0,16 Rexford St,0
"November 22, 2017",Boynton Beach,,,,Florida,/incident/993414,0,1900 Block of N Seacrest Blvd,0
"November 22, 2017",Boynton Beach,,,,Florida,/incident/993794,1,1000 block of W Gateway Blvd,0
"November 22, 2017",Philadelphia,,,,Pennsylvania,/incident/993785,2,2100 block of 66th St,1
"November 22, 2017",Gretna,,,,Louisiana,/incident/993773,1,400 block of Lapalco Blvd,0
"November 22, 2017",Oakland,,,,California,/incident/993761,0,E. 12th Street and 19th Avenue,1
"November 22, 2017",Baltimore,,,,Maryland,/incident/993754,1,700 block of E 21st,0
"November 22, 2017",Parkville,,,,Maryland,/incident/993752,1,7301 McClean Blvd,0
"November 20, 2017",Chicago,,,,Illinois,/incident/992278,1,1 S Pulaski Rd,1
"November 20, 2017",Anniston,,,,Alabama,/incident/993352,1,Coleman Road,0
"November 20, 2017",Detroit,,,,Michigan,/incident/992119,0,4044 Carter Street,2
"November 20, 2017",Richmond,,,,Kentucky,/incident/992087,0,107 N. Keeneland,1
"November 20, 2017",Medford,,,,Oregon,/incident/992846,0,1100 block of Dakota Ave,0
"November 20, 2017",Vancouver,,,,Washington,/incident/992834,1,9714 E Mill Plain Blvd,0
"November 20, 2017",Greensboro,,,,North Carolina,/incident/992918,1,2436 W Florida St,0
"November 20, 2017",Rockford,,,,Illinois,/incident/992912,0,900 Ridge Ave,0
"November 20, 2017",Omaha,,,,Nebraska,/incident/992249,0,14101 Larimore Ave,0
"November 20, 2017",Charlotte,,,,North Carolina,/incident/992880,0,500 Block of Barton Creek Dr,1
"November 20, 2017",Chicago,,,,Illinois,/incident/992858,0,500 Lawndale Ave,0
"November 20, 2017",Baltimore,,,,Maryland,/incident/992856,1,4000 block of Rogers Ave,0
"November 20, 2017",Charlotte,,,,North Carolina,/incident/993459,0,Daerwood Pl,0
"November 20, 2017",Oklahoma City,,,,Oklahoma,/incident/992228,2,7533 NW 6th St,0
"November 20, 2017",Port Saint Lucie,,,,Florida,/incident/992826,0,1700 Block of SW Commerce Ave,0
"November 20, 2017",Indianapolis,,,,Indiana,/incident/992600,0,7500 Ballinshire S,1
"November 20, 2017",Palos Heights,,,,Illinois,/incident/992815,0,7300 W Ishnala Dr,1
"November 20, 2017",Chicago,,,,Illinois,/incident/992811,1,3300 W Potomac Ave,0
"November 20, 2017",Floral City,,,,Florida,/incident/992698,2,N/A,0
"November 20, 2017",Toledo,,,,Ohio,/incident/992072,1,3200 block of N Detroit Ave,0
"November 20, 2017",Brooklyn,,,,New York,/incident/993383,0,Flatlands Ave,0
"November 20, 2017",Elyria,,,,Ohio,/incident/992064,1,Ely Square,0
"November 20, 2017",Long Beach,,,,California,/incident/992784,0,Olive Ave and 9th St,0
"November 20, 2017",Gulfport,,,,Mississippi,/incident/992702,0,18000 block of Lake Vista Dr,1
"November 20, 2017",Pine Bluff,,,,Arkansas,/incident/992749,0,1020 S Linden St,1
"November 20, 2017",Helena,,,,Arkansas,/incident/992738,1,N/A,0
"November 20, 2017",Trenton,,,,New Jersey,/incident/992725,3,100 block of Home Ave,0
"November 20, 2017",Philadelphia,,,,Pennsylvania,/incident/991992,2,Lawrence St and Indiana Ave,0
"November 20, 2017",New Orleans,,,,Louisiana,/incident/992723,1,St Bernard and N Claiborne Ave,0
"November 20, 2017",Holmdel,,,,New Jersey,/incident/992721,1,Castle Pines Ct,0
"November 20, 2017",Jacksonville,,,,Florida,/incident/992712,0,Wright Ave,1
"November 20, 2017",Saint Louis,,,,Missouri,/incident/992705,1,4500 block of Pennsylvania Ave,0
"November 20, 2017",Spring Hill,,,,Florida,/incident/992679,0,12000 Block of Villa Rd,1
"November 20, 2017",Jackson,,,,Mississippi,/incident/992694,0,Raymond Rd and Valley St,1
"November 20, 2017",Dunnellon,,,,Florida,/incident/993335,0,10000 Block of SW 110th Ct,0
"November 20, 2017",Trussville,,,,Alabama,/incident/991949,0,Smith Simms Road,1
"November 20, 2017",Orange,,,,New Jersey,/incident/993287,0,Park Ave and N Center St,1
"November 20, 2017",Fort Myers (Tice),,,,Florida,/incident/991922,0,Figuera Ave,0
"November 20, 2017",Miami,,,,Florida,/incident/991918,1,NW 10th Ave and NW 80th St,0
"November 20, 2017",New Orleans,,,,Louisiana,/incident/992620,0,2300 block of St. Anthony Street,1
"November 20, 2017",Chicago,,,,Illinois,/incident/991902,2,5000 W Fulton St,0
"November 20, 2017",Sanger,,,,California,/incident/992781,1,1300 block of J St,0
"November 20, 2017",Cincinnati,,,,Ohio,/incident/992018,1,McHenry Ave,0
"November 20, 2017",Shreveport,,,,Louisiana,/incident/992754,0,2000 block of West Bert Kouns,1
"November 21, 2017",Birmingham,,,,Alabama,/incident/993301,1,Parkway East,0
"November 20, 2017",San Antonio,,,,Texas,/incident/993154,0,7725 W FM 78,1
"November 20, 2017",Sioux City,,,,Iowa,/incident/993262,0,700 block of Isabella St,0
"November 20, 2017",Cedar Rapids,,,,Iowa,/incident/992397,1,2nd Ave SE and 15th St SE,0
"November 21, 2017",Biloxi (Saint Martin),,,,Mississippi,/incident/993291,0,Columbus Circle,0
"November 21, 2017",Portsmouth,,,,Ohio,/incident/993289,1,1300 block of Offnere St,0
"November 21, 2017",Bluefield (Sandlick),,,,West Virginia,/incident/993278,1,N/A,0
"November 21, 2017",Staten Island,,,,New York,/incident/993267,1,Bennett St and Park Ave,0
